"Year","Component","Province","Normalization","Measure","Value","Total"
2007,"CPP Net Contributions","Northwest Territories","Total ($ M)","Value",99,-701
2007,"Child Benefits","Northwest Territories","Total ($ M)","Value",-16,-701
2007,"Defense Purchases","Northwest Territories","Total ($ M)","Value",-48,-701
2007,"EI Payments less Receipts","Northwest Territories","Total ($ M)","Value",18,-701
2007,"Corporate Income Taxes","Northwest Territories","Total ($ M)","Value",80,-701
2007,"Personal Income Taxes","Northwest Territories","Total ($ M)","Value",204,-701
2007,"Other Factors","Northwest Territories","Total ($ M)","Value",-901,-701
2007,"Non-Defense Purchases","Northwest Territories","Total ($ M)","Value",-204,-701
2007,"OAS Benefits","Northwest Territories","Total ($ M)","Value",-15,-701
2007,"Equalization / Stabilization","Northwest Territories","Total ($ M)","Value",0,-701
2007,"GST and Excise Taxes","Northwest Territories","Total ($ M)","Value",82,-701
2007,"CPP Net Contributions","Nova Scotia","Total ($ M)","Value",-8,-5104
2007,"Child Benefits","Nova Scotia","Total ($ M)","Value",-347,-5104
2007,"Defense Purchases","Nova Scotia","Total ($ M)","Value",-2122,-5104
2007,"EI Payments less Receipts","Nova Scotia","Total ($ M)","Value",-178,-5104
2007,"Corporate Income Taxes","Nova Scotia","Total ($ M)","Value",676,-5104
2007,"Personal Income Taxes","Nova Scotia","Total ($ M)","Value",2516,-5104
2007,"Other Factors","Nova Scotia","Total ($ M)","Value",-2463,-5104
2007,"Non-Defense Purchases","Nova Scotia","Total ($ M)","Value",-1884,-5104
2007,"OAS Benefits","Nova Scotia","Total ($ M)","Value",-1053,-5104
2007,"Equalization / Stabilization","Nova Scotia","Total ($ M)","Value",-1454,-5104
2007,"GST and Excise Taxes","Nova Scotia","Total ($ M)","Value",1213,-5104
2007,"CPP Net Contributions","Nunavut","Total ($ M)","Value",32,-985
2007,"Child Benefits","Nunavut","Total ($ M)","Value",-25,-985
2007,"Defense Purchases","Nunavut","Total ($ M)","Value",-8,-985
2007,"EI Payments less Receipts","Nunavut","Total ($ M)","Value",4,-985
2007,"Corporate Income Taxes","Nunavut","Total ($ M)","Value",12,-985
2007,"Personal Income Taxes","Nunavut","Total ($ M)","Value",121,-985
2007,"Other Factors","Nunavut","Total ($ M)","Value",-1019,-985
2007,"Non-Defense Purchases","Nunavut","Total ($ M)","Value",-126,-985
2007,"OAS Benefits","Nunavut","Total ($ M)","Value",-11,-985
2007,"Equalization / Stabilization","Nunavut","Total ($ M)","Value",0,-985
2007,"GST and Excise Taxes","Nunavut","Total ($ M)","Value",35,-985
2007,"CPP Net Contributions","Ontario","Total ($ M)","Value",6033,24197
2007,"Child Benefits","Ontario","Total ($ M)","Value",-4492,24197
2007,"Defense Purchases","Ontario","Total ($ M)","Value",-6601,24197
2007,"EI Payments less Receipts","Ontario","Total ($ M)","Value",2985,24197
2007,"Corporate Income Taxes","Ontario","Total ($ M)","Value",14255,24197
2007,"Personal Income Taxes","Ontario","Total ($ M)","Value",51196,24197
2007,"Other Factors","Ontario","Total ($ M)","Value",-27724,24197
2007,"Non-Defense Purchases","Ontario","Total ($ M)","Value",-17781,24197
2007,"OAS Benefits","Ontario","Total ($ M)","Value",-11577,24197
2007,"Equalization / Stabilization","Ontario","Total ($ M)","Value",0,24197
2007,"GST and Excise Taxes","Ontario","Total ($ M)","Value",17903,24197
2007,"CPP Net Contributions","Prince Edward Island","Total ($ M)","Value",26,-893
2007,"Child Benefits","Prince Edward Island","Total ($ M)","Value",-55,-893
2007,"Defense Purchases","Prince Edward Island","Total ($ M)","Value",-54,-893
2007,"EI Payments less Receipts","Prince Edward Island","Total ($ M)","Value",-125,-893
2007,"Corporate Income Taxes","Prince Edward Island","Total ($ M)","Value",94,-893
2007,"Personal Income Taxes","Prince Edward Island","Total ($ M)","Value",318,-893
2007,"Other Factors","Prince Edward Island","Total ($ M)","Value",-407,-893
2007,"Non-Defense Purchases","Prince Edward Island","Total ($ M)","Value",-417,-893
2007,"OAS Benefits","Prince Edward Island","Total ($ M)","Value",-158,-893
2007,"Equalization / Stabilization","Prince Edward Island","Total ($ M)","Value",-295,-893
2007,"GST and Excise Taxes","Prince Edward Island","Total ($ M)","Value",180,-893
2007,"CPP Net Contributions","Quebec","Total ($ M)","Value",-31,-7003
2007,"Child Benefits","Quebec","Total ($ M)","Value",-2720,-7003
2007,"Defense Purchases","Quebec","Total ($ M)","Value",-2251,-7003
2007,"EI Payments less Receipts","Quebec","Total ($ M)","Value",210,-7003
2007,"Corporate Income Taxes","Quebec","Total ($ M)","Value",6709,-7003
2007,"Personal Income Taxes","Quebec","Total ($ M)","Value",19302,-7003
2007,"Other Factors","Quebec","Total ($ M)","Value",-13879,-7003
2007,"Non-Defense Purchases","Quebec","Total ($ M)","Value",-8538,-7003
2007,"OAS Benefits","Quebec","Total ($ M)","Value",-8597,-7003
2007,"Equalization / Stabilization","Quebec","Total ($ M)","Value",-6795,-7003
2007,"GST and Excise Taxes","Quebec","Total ($ M)","Value",9587,-7003
2007,"CPP Net Contributions","Saskatchewan","Total ($ M)","Value",238,-984
2007,"Child Benefits","Saskatchewan","Total ($ M)","Value",-476,-984
2007,"Defense Purchases","Saskatchewan","Total ($ M)","Value",-230,-984
2007,"EI Payments less Receipts","Saskatchewan","Total ($ M)","Value",192,-984
2007,"Corporate Income Taxes","Saskatchewan","Total ($ M)","Value",1022,-984
2007,"Personal Income Taxes","Saskatchewan","Total ($ M)","Value",3081,-984
2007,"Other Factors","Saskatchewan","Total ($ M)","Value",-3796,-984
2007,"Non-Defense Purchases","Saskatchewan","Total ($ M)","Value",-1137,-984
2007,"OAS Benefits","Saskatchewan","Total ($ M)","Value",-1109,-984
2007,"Equalization / Stabilization","Saskatchewan","Total ($ M)","Value",-173,-984
2007,"GST and Excise Taxes","Saskatchewan","Total ($ M)","Value",1404,-984
2007,"CPP Net Contributions","Yukon","Total ($ M)","Value",51,-630
2007,"Child Benefits","Yukon","Total ($ M)","Value",-13,-630
2007,"Defense Purchases","Yukon","Total ($ M)","Value",-3,-630
2007,"EI Payments less Receipts","Yukon","Total ($ M)","Value",4,-630
2007,"Corporate Income Taxes","Yukon","Total ($ M)","Value",21,-630
2007,"Personal Income Taxes","Yukon","Total ($ M)","Value",118,-630
2007,"Other Factors","Yukon","Total ($ M)","Value",-752,-630
2007,"Non-Defense Purchases","Yukon","Total ($ M)","Value",-94,-630
2007,"OAS Benefits","Yukon","Total ($ M)","Value",-18,-630
2007,"Equalization / Stabilization","Yukon","Total ($ M)","Value",0,-630
2007,"GST and Excise Taxes","Yukon","Total ($ M)","Value",56,-630
2008,"CPP Net Contributions","Alberta","Total ($ M)","Value",3709,26213
2008,"Child Benefits","Alberta","Total ($ M)","Value",-1261,26213
2008,"Defense Purchases","Alberta","Total ($ M)","Value",-1786,26213
2008,"EI Payments less Receipts","Alberta","Total ($ M)","Value",1276,26213
2008,"Corporate Income Taxes","Alberta","Total ($ M)","Value",9381,26213
2008,"Personal Income Taxes","Alberta","Total ($ M)","Value",20794,26213
2008,"Other Factors","Alberta","Total ($ M)","Value",-7383,26213
2008,"Non-Defense Purchases","Alberta","Total ($ M)","Value",-2191,26213
2008,"OAS Benefits","Alberta","Total ($ M)","Value",-2634,26213
2008,"Equalization / Stabilization","Alberta","Total ($ M)","Value",0,26213
2008,"GST and Excise Taxes","Alberta","Total ($ M)","Value",6308,26213
2008,"CPP Net Contributions","British Columbia","Total ($ M)","Value",1934,6342
2008,"Child Benefits","British Columbia","Total ($ M)","Value",-1465,6342
2008,"Defense Purchases","British Columbia","Total ($ M)","Value",-1470,6342
2008,"EI Payments less Receipts","British Columbia","Total ($ M)","Value",861,6342
2008,"Corporate Income Taxes","British Columbia","Total ($ M)","Value",4188,6342
2008,"Personal Income Taxes","British Columbia","Total ($ M)","Value",15570,6342
2008,"Other Factors","British Columbia","Total ($ M)","Value",-11052,6342
2008,"Non-Defense Purchases","British Columbia","Total ($ M)","Value",-4081,6342
2008,"OAS Benefits","British Columbia","Total ($ M)","Value",-4336,6342
2008,"Equalization / Stabilization","British Columbia","Total ($ M)","Value",0,6342
2008,"GST and Excise Taxes","British Columbia","Total ($ M)","Value",6193,6342
2008,"CPP Net Contributions","Manitoba","Total ($ M)","Value",407,-4153
2008,"Child Benefits","Manitoba","Total ($ M)","Value",-577,-4153
2008,"Defense Purchases","Manitoba","Total ($ M)","Value",-705,-4153
2008,"EI Payments less Receipts","Manitoba","Total ($ M)","Value",248,-4153
2008,"Corporate Income Taxes","Manitoba","Total ($ M)","Value",830,-4153
2008,"Personal Income Taxes","Manitoba","Total ($ M)","Value",3345,-4153
2008,"Other Factors","Manitoba","Total ($ M)","Value",-4270,-4153
2008,"Non-Defense Purchases","Manitoba","Total ($ M)","Value",-1561,-4153
2008,"OAS Benefits","Manitoba","Total ($ M)","Value",-1214,-4153
2008,"Equalization / Stabilization","Manitoba","Total ($ M)","Value",-2085,-4153
2008,"GST and Excise Taxes","Manitoba","Total ($ M)","Value",1429,-4153
2008,"CPP Net Contributions","New Brunswick","Total ($ M)","Value",142,-3800
2008,"Child Benefits","New Brunswick","Total ($ M)","Value",-281,-3800
2008,"Defense Purchases","New Brunswick","Total ($ M)","Value",-748,-3800
2008,"EI Payments less Receipts","New Brunswick","Total ($ M)","Value",-322,-3800
2008,"Corporate Income Taxes","New Brunswick","Total ($ M)","Value",422,-3800
2008,"Personal Income Taxes","New Brunswick","Total ($ M)","Value",1886,-3800
2008,"Other Factors","New Brunswick","Total ($ M)","Value",-2036,-3800
2008,"Non-Defense Purchases","New Brunswick","Total ($ M)","Value",-1203,-3800
2008,"OAS Benefits","New Brunswick","Total ($ M)","Value",-907,-3800
2008,"Equalization / Stabilization","New Brunswick","Total ($ M)","Value",-1620,-3800
2008,"GST and Excise Taxes","New Brunswick","Total ($ M)","Value",867,-3800
2008,"CPP Net Contributions","Newfoundland and Labrador","Total ($ M)","Value",55,-1640
2008,"Child Benefits","Newfoundland and Labrador","Total ($ M)","Value",-186,-1640
2008,"Defense Purchases","Newfoundland and Labrador","Total ($ M)","Value",-177,-1640
2008,"EI Payments less Receipts","Newfoundland and Labrador","Total ($ M)","Value",-598,-1640
2008,"Corporate Income Taxes","Newfoundland and Labrador","Total ($ M)","Value",585,-1640
2008,"Personal Income Taxes","Newfoundland and Labrador","Total ($ M)","Value",1354,-1640
2008,"Other Factors","Newfoundland and Labrador","Total ($ M)","Value",-1693,-1640
2008,"Non-Defense Purchases","Newfoundland and Labrador","Total ($ M)","Value",-838,-1640
2008,"OAS Benefits","Newfoundland and Labrador","Total ($ M)","Value",-655,-1640
2008,"Equalization / Stabilization","Newfoundland and Labrador","Total ($ M)","Value",-124,-1640
2008,"GST and Excise Taxes","Newfoundland and Labrador","Total ($ M)","Value",637,-1640
2008,"CPP Net Contributions","Northwest Territories","Total ($ M)","Value",88,-734
2008,"Child Benefits","Northwest Territories","Total ($ M)","Value",-16,-734
2008,"Defense Purchases","Northwest Territories","Total ($ M)","Value",-50,-734
2008,"EI Payments less Receipts","Northwest Territories","Total ($ M)","Value",9,-734
2008,"Corporate Income Taxes","Northwest Territories","Total ($ M)","Value",97,-734
2008,"Personal Income Taxes","Northwest Territories","Total ($ M)","Value",203,-734
2008,"Other Factors","Northwest Territories","Total ($ M)","Value",-909,-734
2008,"Non-Defense Purchases","Northwest Territories","Total ($ M)","Value",-216,-734
2008,"OAS Benefits","Northwest Territories","Total ($ M)","Value",-16,-734
2008,"Equalization / Stabilization","Northwest Territories","Total ($ M)","Value",0,-734
2008,"GST and Excise Taxes","Northwest Territories","Total ($ M)","Value",76,-734
2008,"CPP Net Contributions","Nova Scotia","Total ($ M)","Value",-65,-6032
2008,"Child Benefits","Nova Scotia","Total ($ M)","Value",-349,-6032
2008,"Defense Purchases","Nova Scotia","Total ($ M)","Value",-2304,-6032
2008,"EI Payments less Receipts","Nova Scotia","Total ($ M)","Value",-207,-6032
2008,"Corporate Income Taxes","Nova Scotia","Total ($ M)","Value",629,-6032
2008,"Personal Income Taxes","Nova Scotia","Total ($ M)","Value",2497,-6032
2008,"Other Factors","Nova Scotia","Total ($ M)","Value",-2772,-6032
2008,"Non-Defense Purchases","Nova Scotia","Total ($ M)","Value",-1972,-6032
2008,"OAS Benefits","Nova Scotia","Total ($ M)","Value",-1089,-6032
2008,"Equalization / Stabilization","Nova Scotia","Total ($ M)","Value",-1524,-6032
2008,"GST and Excise Taxes","Nova Scotia","Total ($ M)","Value",1124,-6032
2008,"CPP Net Contributions","Nunavut","Total ($ M)","Value",35,-1192
2008,"Child Benefits","Nunavut","Total ($ M)","Value",-26,-1192
2008,"Defense Purchases","Nunavut","Total ($ M)","Value",-9,-1192
2008,"EI Payments less Receipts","Nunavut","Total ($ M)","Value",5,-1192
2008,"Corporate Income Taxes","Nunavut","Total ($ M)","Value",16,-1192
2008,"Personal Income Taxes","Nunavut","Total ($ M)","Value",66,-1192
2008,"Other Factors","Nunavut","Total ($ M)","Value",-1166,-1192
2008,"Non-Defense Purchases","Nunavut","Total ($ M)","Value",-136,-1192
2008,"OAS Benefits","Nunavut","Total ($ M)","Value",-11,-1192
2008,"Equalization / Stabilization","Nunavut","Total ($ M)","Value",0,-1192
2008,"GST and Excise Taxes","Nunavut","Total ($ M)","Value",34,-1192
2008,"CPP Net Contributions","Ontario","Total ($ M)","Value",5156,14209
2008,"Child Benefits","Ontario","Total ($ M)","Value",-4400,14209
2008,"Defense Purchases","Ontario","Total ($ M)","Value",-7395,14209
2008,"EI Payments less Receipts","Ontario","Total ($ M)","Value",2465,14209
2008,"Corporate Income Taxes","Ontario","Total ($ M)","Value",11814,14209
2008,"Personal Income Taxes","Ontario","Total ($ M)","Value",49894,14209
2008,"Other Factors","Ontario","Total ($ M)","Value",-28944,14209
2008,"Non-Defense Purchases","Ontario","Total ($ M)","Value",-18618,14209
2008,"OAS Benefits","Ontario","Total ($ M)","Value",-11969,14209
2008,"Equalization / Stabilization","Ontario","Total ($ M)","Value",0,14209
2008,"GST and Excise Taxes","Ontario","Total ($ M)","Value",16206,14209
2008,"CPP Net Contributions","Prince Edward Island","Total ($ M)","Value",16,-1060
2008,"Child Benefits","Prince Edward Island","Total ($ M)","Value",-55,-1060
2008,"Defense Purchases","Prince Edward Island","Total ($ M)","Value",-54,-1060
2008,"EI Payments less Receipts","Prince Edward Island","Total ($ M)","Value",-129,-1060
2008,"Corporate Income Taxes","Prince Edward Island","Total ($ M)","Value",64,-1060
2008,"Personal Income Taxes","Prince Edward Island","Total ($ M)","Value",319,-1060
2008,"Other Factors","Prince Edward Island","Total ($ M)","Value",-450,-1060
2008,"Non-Defense Purchases","Prince Edward Island","Total ($ M)","Value",-445,-1060
2008,"OAS Benefits","Prince Edward Island","Total ($ M)","Value",-163,-1060
2008,"Equalization / Stabilization","Prince Edward Island","Total ($ M)","Value",-328,-1060
2008,"GST and Excise Taxes","Prince Edward Island","Total ($ M)","Value",165,-1060
2008,"CPP Net Contributions","Quebec","Total ($ M)","Value",-31,-13057
2008,"Child Benefits","Quebec","Total ($ M)","Value",-2795,-13057
2008,"Defense Purchases","Quebec","Total ($ M)","Value",-2474,-13057
2008,"EI Payments less Receipts","Quebec","Total ($ M)","Value",67,-13057
2008,"Corporate Income Taxes","Quebec","Total ($ M)","Value",5857,-13057
2008,"Personal Income Taxes","Quebec","Total ($ M)","Value",19366,-13057
2008,"Other Factors","Quebec","Total ($ M)","Value",-15571,-13057
2008,"Non-Defense Purchases","Quebec","Total ($ M)","Value",-9194,-13057
2008,"OAS Benefits","Quebec","Total ($ M)","Value",-8962,-13057
2008,"Equalization / Stabilization","Quebec","Total ($ M)","Value",-8128,-13057
2008,"GST and Excise Taxes","Quebec","Total ($ M)","Value",8808,-13057
2008,"CPP Net Contributions","Saskatchewan","Total ($ M)","Value",263,-558
2008,"Child Benefits","Saskatchewan","Total ($ M)","Value",-483,-558
2008,"Defense Purchases","Saskatchewan","Total ($ M)","Value",-255,-558
2008,"EI Payments less Receipts","Saskatchewan","Total ($ M)","Value",195,-558
2008,"Corporate Income Taxes","Saskatchewan","Total ($ M)","Value",1400,-558
2008,"Personal Income Taxes","Saskatchewan","Total ($ M)","Value",3355,-558
2008,"Other Factors","Saskatchewan","Total ($ M)","Value",-3967,-558
2008,"Non-Defense Purchases","Saskatchewan","Total ($ M)","Value",-1254,-558
2008,"OAS Benefits","Saskatchewan","Total ($ M)","Value",-1123,-558
2008,"Equalization / Stabilization","Saskatchewan","Total ($ M)","Value",-59,-558
2008,"GST and Excise Taxes","Saskatchewan","Total ($ M)","Value",1370,-558
2008,"CPP Net Contributions","Yukon","Total ($ M)","Value",52,-723
2008,"Child Benefits","Yukon","Total ($ M)","Value",-12,-723
2008,"Defense Purchases","Yukon","Total ($ M)","Value",-3,-723
2008,"EI Payments less Receipts","Yukon","Total ($ M)","Value",2,-723
2008,"Corporate Income Taxes","Yukon","Total ($ M)","Value",19,-723
2008,"Personal Income Taxes","Yukon","Total ($ M)","Value",125,-723
2008,"Other Factors","Yukon","Total ($ M)","Value",-840,-723
2008,"Non-Defense Purchases","Yukon","Total ($ M)","Value",-100,-723
2008,"OAS Benefits","Yukon","Total ($ M)","Value",-19,-723
2008,"Equalization / Stabilization","Yukon","Total ($ M)","Value",0,-723
2008,"GST and Excise Taxes","Yukon","Total ($ M)","Value",53,-723
2009,"CPP Net Contributions","Alberta","Total ($ M)","Value",3366,21052
2009,"Child Benefits","Alberta","Total ($ M)","Value",-1271,21052
2009,"Defense Purchases","Alberta","Total ($ M)","Value",-1788,21052
2009,"EI Payments less Receipts","Alberta","Total ($ M)","Value",378,21052
2009,"Corporate Income Taxes","Alberta","Total ($ M)","Value",8788,21052
2009,"Personal Income Taxes","Alberta","Total ($ M)","Value",18668,21052
2009,"Other Factors","Alberta","Total ($ M)","Value",-7780,21052
2009,"Non-Defense Purchases","Alberta","Total ($ M)","Value",-2689,21052
2009,"OAS Benefits","Alberta","Total ($ M)","Value",-2742,21052
2009,"Equalization / Stabilization","Alberta","Total ($ M)","Value",0,21052
2009,"GST and Excise Taxes","Alberta","Total ($ M)","Value",6122,21052
2009,"CPP Net Contributions","British Columbia","Total ($ M)","Value",1529,2464
2009,"Child Benefits","British Columbia","Total ($ M)","Value",-1469,2464
2009,"Defense Purchases","British Columbia","Total ($ M)","Value",-1512,2464
2009,"EI Payments less Receipts","British Columbia","Total ($ M)","Value",-44,2464
2009,"Corporate Income Taxes","British Columbia","Total ($ M)","Value",3788,2464
2009,"Personal Income Taxes","British Columbia","Total ($ M)","Value",14289,2464
2009,"Other Factors","British Columbia","Total ($ M)","Value",-11363,2464
2009,"Non-Defense Purchases","British Columbia","Total ($ M)","Value",-4281,2464
2009,"OAS Benefits","British Columbia","Total ($ M)","Value",-4540,2464
2009,"Equalization / Stabilization","British Columbia","Total ($ M)","Value",-187,2464
2009,"GST and Excise Taxes","British Columbia","Total ($ M)","Value",6254,2464
2009,"CPP Net Contributions","Manitoba","Total ($ M)","Value",384,-4568
2009,"Child Benefits","Manitoba","Total ($ M)","Value",-583,-4568
2009,"Defense Purchases","Manitoba","Total ($ M)","Value",-757,-4568
2009,"EI Payments less Receipts","Manitoba","Total ($ M)","Value",153,-4568
2009,"Corporate Income Taxes","Manitoba","Total ($ M)","Value",780,-4568
2009,"Personal Income Taxes","Manitoba","Total ($ M)","Value",3245,-4568
2009,"Other Factors","Manitoba","Total ($ M)","Value",-4321,-4568
2009,"Non-Defense Purchases","Manitoba","Total ($ M)","Value",-1637,-4568
2009,"OAS Benefits","Manitoba","Total ($ M)","Value",-1247,-4568
2009,"Equalization / Stabilization","Manitoba","Total ($ M)","Value",-2082,-4568
2009,"GST and Excise Taxes","Manitoba","Total ($ M)","Value",1497,-4568
2009,"CPP Net Contributions","New Brunswick","Total ($ M)","Value",107,-4296
2009,"Child Benefits","New Brunswick","Total ($ M)","Value",-280,-4296
2009,"Defense Purchases","New Brunswick","Total ($ M)","Value",-817,-4296
2009,"EI Payments less Receipts","New Brunswick","Total ($ M)","Value",-443,-4296
2009,"Corporate Income Taxes","New Brunswick","Total ($ M)","Value",422,-4296
2009,"Personal Income Taxes","New Brunswick","Total ($ M)","Value",1839,-4296
2009,"Other Factors","New Brunswick","Total ($ M)","Value",-2079,-4296
2009,"Non-Defense Purchases","New Brunswick","Total ($ M)","Value",-1346,-4296
2009,"OAS Benefits","New Brunswick","Total ($ M)","Value",-942,-4296
2009,"Equalization / Stabilization","New Brunswick","Total ($ M)","Value",-1677,-4296
2009,"GST and Excise Taxes","New Brunswick","Total ($ M)","Value",920,-4296
2009,"CPP Net Contributions","Newfoundland and Labrador","Total ($ M)","Value",51,-2535
2009,"Child Benefits","Newfoundland and Labrador","Total ($ M)","Value",-180,-2535
2009,"Defense Purchases","Newfoundland and Labrador","Total ($ M)","Value",-177,-2535
2009,"EI Payments less Receipts","Newfoundland and Labrador","Total ($ M)","Value",-699,-2535
2009,"Corporate Income Taxes","Newfoundland and Labrador","Total ($ M)","Value",478,-2535
2009,"Personal Income Taxes","Newfoundland and Labrador","Total ($ M)","Value",1355,-2535
2009,"Other Factors","Newfoundland and Labrador","Total ($ M)","Value",-2477,-2535
2009,"Non-Defense Purchases","Newfoundland and Labrador","Total ($ M)","Value",-894,-2535
2009,"OAS Benefits","Newfoundland and Labrador","Total ($ M)","Value",-681,-2535
2009,"Equalization / Stabilization","Newfoundland and Labrador","Total ($ M)","Value",0,-2535
2009,"GST and Excise Taxes","Newfoundland and Labrador","Total ($ M)","Value",689,-2535
2009,"CPP Net Contributions","Northwest Territories","Total ($ M)","Value",84,-893
2009,"Child Benefits","Northwest Territories","Total ($ M)","Value",-17,-893
2009,"Defense Purchases","Northwest Territories","Total ($ M)","Value",-52,-893
2009,"EI Payments less Receipts","Northwest Territories","Total ($ M)","Value",1,-893
2009,"Corporate Income Taxes","Northwest Territories","Total ($ M)","Value",91,-893
2009,"Personal Income Taxes","Northwest Territories","Total ($ M)","Value",198,-893
2009,"Other Factors","Northwest Territories","Total ($ M)","Value",-1017,-893
2009,"Non-Defense Purchases","Northwest Territories","Total ($ M)","Value",-240,-893
2009,"OAS Benefits","Northwest Territories","Total ($ M)","Value",-17,-893
2009,"Equalization / Stabilization","Northwest Territories","Total ($ M)","Value",0,-893
2009,"GST and Excise Taxes","Northwest Territories","Total ($ M)","Value",76,-893
2009,"CPP Net Contributions","Nova Scotia","Total ($ M)","Value",-122,-6334
2009,"Child Benefits","Nova Scotia","Total ($ M)","Value",-346,-6334
2009,"Defense Purchases","Nova Scotia","Total ($ M)","Value",-2192,-6334
2009,"EI Payments less Receipts","Nova Scotia","Total ($ M)","Value",-330,-6334
2009,"Corporate Income Taxes","Nova Scotia","Total ($ M)","Value",588,-6334
2009,"Personal Income Taxes","Nova Scotia","Total ($ M)","Value",2392,-6334
2009,"Other Factors","Nova Scotia","Total ($ M)","Value",-2872,-6334
2009,"Non-Defense Purchases","Nova Scotia","Total ($ M)","Value",-2034,-6334
2009,"OAS Benefits","Nova Scotia","Total ($ M)","Value",-1131,-6334
2009,"Equalization / Stabilization","Nova Scotia","Total ($ M)","Value",-1478,-6334
2009,"GST and Excise Taxes","Nova Scotia","Total ($ M)","Value",1191,-6334
2009,"CPP Net Contributions","Nunavut","Total ($ M)","Value",37,-1193
2009,"Child Benefits","Nunavut","Total ($ M)","Value",-26,-1193
2009,"Defense Purchases","Nunavut","Total ($ M)","Value",-9,-1193
2009,"EI Payments less Receipts","Nunavut","Total ($ M)","Value",2,-1193
